CODE REGION,REGION,DEPARTEMENTS,COMMUNES,ARRONDISSEMENTS,C0MMUNES d’ARRDT,COMM. RURALES
SN-DK,DAKAR,Dakar,Dakar,DAKAR-PLATEAU,Gorée,
SN-DK,DAKAR,Dakar,Dakar,DAKAR-PLATEAU,Dakar - Plateau,
SN-DK,DAKAR,Dakar,Dakar,DAKAR-PLATEAU,Gueule Tapée – Fass-Colobane,
SN-DK,DAKAR,Dakar,Dakar,DAKAR-PLATEAU,Fann - Point E - Amitié,
SN-DK,DAKAR,Dakar,Dakar,GRAND DAKAR,Grand Dakar,
SN-DK,DAKAR,Dakar,Dakar,GRAND DAKAR,Biscuiterie,
SN-DK,DAKAR,Dakar,Dakar,GRAND DAKAR,Dieuppeul – Derklé,
SN-DK,DAKAR,Dakar,Dakar,GRAND DAKAR,Hann - Bel Air,
SN-DK,DAKAR,Dakar,Dakar,GRAND DAKAR,Sicap - Liberté,
SN-DK,DAKAR,Dakar,Dakar,GRAND DAKAR,H.L.M,
SN-DK,DAKAR,Dakar,Dakar,ALMADIES,Mermoz – Sacré Cœur,
SN-DK,DAKAR,Dakar,Dakar,ALMADIES,Ouakam,
SN-DK,DAKAR,Dakar,Dakar,ALMADIES,Ngor,
SN-DK,DAKAR,Dakar,Dakar,ALMADIES,Yoff,
SN-DK,DAKAR,Dakar,Dakar,PARCELLES ASSAINIES,Grand Yoff,
SN-DK,DAKAR,Dakar,Dakar,PARCELLES ASSAINIES,Patte D’Oie,
SN-DK,DAKAR,Dakar,Dakar,PARCELLES ASSAINIES,Parcelles Assainies,
SN-DK,DAKAR,Dakar,Dakar,PARCELLES ASSAINIES,Cambérène,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,GUEDIAWAYE,Golf Sud,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,GUEDIAWAYE,Sam Notaire,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,GUEDIAWAYE,Ndiarème Limamoulaye,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,GUEDIAWAYE,Médina Gounass,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,GUEDIAWAYE,Wakhinane Nimzath,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,THIAROYE,Thiaroye Gare,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,THIAROYE,Mbao,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,THIAROYE,Thiaroye sur Mer,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,THIAROYE,Tivaouane – Diack Sao,
SN-DK,DAKAR,GUEDIAWAYE,Guédiawaye,THIAROYE,Diamagueune Sicap Mbao,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,NIAYES,Keur Massar,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,NIAYES,Malika,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,NIAYES,Yeumbeul Nord,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,NIAYES,Yeumbeul Sud,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,PIKINE DAGOUDAN,Pikine Ouest,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,PIKINE DAGOUDAN,Pikine Est,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,PIKINE DAGOUDAN,Pikine Nord,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,PIKINE DAGOUDAN,Dalifort,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,PIKINE DAGOUDAN,Djidah Thiaroye Kao,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,PIKINE DAGOUDAN,Guinaw Rail Nord,
SN-DK,DAKAR,GUEDIAWAYE,Pikine,PIKINE DAGOUDAN,Guinaw Rail Sud,
SN-DK,DAKAR,RUFISQUE,Rufisque,RUFISQUE - EST,Rufisque Est,
SN-DK,DAKAR,RUFISQUE,Rufisque,RUFISQUE - EST,Bargny Rufisque Nord,
SN-DK,DAKAR,RUFISQUE,Rufisque,RUFISQUE - EST,Diamniadio Rufisque Ouest,
SN-DK,DAKAR,RUFISQUE,Rufisque,RUFISQUE - EST,Sébikotane,
SN-DK,DAKAR,RUFISQUE,Rufisque,SANGALKAM,,Sangalkam Yenne
SN-DB,DIOURBEL,BAMBEY,Bambey,BABA GARAGE,Dinguiraye,
SN-DB,DIOURBEL,BAMBEY,Bambey,BABA GARAGE,Baba Garage,
SN-DB,DIOURBEL,BAMBEY,Bambey,BABA GARAGE,Keur Samba Kane,
