numero,date,code,annee,titre,mode,type,entité,sous-entité,montant,devise,taxes,titulaire
9,2010-01-04,F0009/10,2009,Acquisition de mobiliers et matériels d'appartement destinés au Ministre du Tourisme (Mr T.L),Entente directe,Fournitures,Ministère de l'Economie et des Finances , DMTA,10000000.00,F CFA,TTC,SENEGAL EQUIP
10,2010-01-04,F0010/10,2009,Fourniture de mobiliers et matériels d'appartement destinés aux Inspecteurs Généraux d'Etat (M. M.F et M.D.Y),Entente directe,Fournitures,Ministère de l'Economie et des Finances , DMTA,19971500.00,F CFA,TTC,SENEGAL EQUIP
11,2010-01-04,F0011/10,2009,Acquisition de mobiliers et matériels destinés à l'Inspection Générale d'Etat (B T),Entente directe,Fournitures,Ministère de l'Economie et des Finances , DMTA,4880775.00,F CFA,TTC,SENEGAL EQUIP
12,2010-01-04,F0012/10,2009,Acquisition de mobiliers et matériels destinés à l'ancien Ministre Porte Parole du Président de la République (Mr S.ND),Entente directe,Fournitures,Ministère de l'Economie et des Finances , DMTA,9676000.00,F CFA,TTC,Entreprise Sénégalaise d'Equipement d'Entretien et de Construction
13,2010-01-04,F0013/10,2009,"Acquisition de mobiliers et matériels d'appartement destinés au Ministre délégué auprès du Ministre de l'Agriculture et de la Pisciculture, chargé de la Syndicalisation des paysans (Mr. Kh.G)",Entente directe,Fournitures,Ministère de l'Economie et des Finances , DMTA,9676000.00,F CFA,TTC,Entreprise Sénégalaise d'Equipement d'Entretien et de Construction
15,2010-01-05,F0014/10,2009,"Fourniture et installation de logiciels, et réalisation de services connexes à la DGID: lot III: Solution de virtualisation de serveurs",Appel d'offres ouvert,Fournitures,Ministère de l'Economie et des Finances , DGID,31310228.00,F CFA,TTC,NEUROTECH
16,2010-01-05,F0015/10,2009,Acquisition de denrées et autres produits de base,Appel d'offres ouvert,Fournitures,Ministère de l'Intérieur , DAGE,83900000.00,F CFA,TTC,SECODIS SENEGAL SARL
14,2010-01-05,F0016/10,2009,"Fourniture et installation de logiciels, et réalisation de services connexes à la DGID: lot II: Plateforme de supervision et de gestion de parc informatique",Appel d'offres ouvert,Fournitures,Ministère de l'Economie et des Finances , DGID,60870112.00,F CFA,TTC,NEUROTECH
17,2010-01-05,F0017/10,2009,Fourniture d'équipements de pompage destinés aux villes des régions,Appel d'offres restreint,Fournitures,Ministère de l'Intérieur ,,70000000.00,F CFA,TTC,International Trading Management (I.T.M)
18,2010-01-05,F0018/10,2009,Fourniture de matériel biomédical,Appel d'offres ouvert,Fournitures,Centre Hospitalier de Pikine , CHP,49588984.00,F CFA,TTC,Science & Technology Engineering (STE)
19,2010-01-05,F0019/10,2009,Fourniture de matériel biomédical,Appel d'offres ouvert,Fournitures,Centre Hospitalier de Pikine , CHP,11750000.00,F CFA,TTC,Technologies Services
20,2010-01-05,F0020/10,2009,Fourniture de matériel biomédical,Appel d'offres ouvert,Fournitures,Centre Hospitalier de Pikine , CHP,11086888.00,F CFA,TTC,AFRIMED
21,2010-01-05,F0021/10,2009,Fourniture de matériel biomédical,Appel d'offres ouvert,Fournitures,Centre Hospitalier de Pikine , CHP,14411320.00,F CFA,TTC,Matériel Hospitalier sa (MHO)
23,2010-01-06,F0023/10,2009,Fourniture de dix (10) grues de manutention et deux (02) camions-grues,Appel d'offres ouvert,Fournitures,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", DEM,1119228177.00,F CFA,TTC,Groupement TATA Motors/ TATA Africa
24,2010-01-06,F0024/10,2009,Fourniture de matériels d'intervention et de protection,Appel d'offres restreint,Fournitures,Ministère de l'Intérieur , DAGE,61000000.00,F CFA,TTC,Sénégal Salubrité Sellal
25,2010-01-06,F0025/10,2009,Fourniture de cartables (lot n° 1),Appel d'offres restreint,Fournitures,Ministère de l'Intérieur ,,75000000.00,F CFA,TTC,SECODIS SENEGAL SARL
26,2010-01-06,F0026/10,2009,Fourniture de cahiers (lot n° 2),Appel d'offres restreint,Fournitures,Ministère de l'Intérieur ,,76464000.00,F CFA,TTC,SECODIS SENEGAL SARL
22,2010-01-06,S0022/10,2009,Prestation d'insémination artificielle de 4 250 vaches dans la région de Fatick,Appel d'offres ouvert,Services courants,Ministère de l'Elevage,,55907220.00,F CFA,TTC,GIE SENBETAIL
35,2010-01-07,F0035/10,2009,Fourniture de bureau et de consommables informatiques (lots 1 et 2),Appel d'offres ouvert,Fournitures,Ministere de l'Energie , SAGE,24597500.00,F CFA,TTC,GROUPOO Sarl
33,2010-01-07,T0033/10,2009,Travaux de réhabilitation de locaux à l'aéroport International Léopold Sédar Senghor de Dakar,Appel d'offres ouvert,Travaux,Agence des aéroports du Sénégal (ADS),,30147537.00,F CFA,TTC,ATEX
34,2010-01-07,T0034/10,2009,Travaux de réhabilitation de locaux dans les aéroports de Cap Skirring et Ziguinchor,Appel d'offres ouvert,Travaux,Agence des aéroports du Sénégal (ADS),,88569125.00,F CFA,TTC,Ets KEBE KHEWEUL
37,2010-01-08,T0038/10,2009,Avenant n°2 au marché n° T0138/09 relatif aux travaux d'entretien courant des routes revêtues dans la région de Ziguinchor,Avenant,Travaux,Agence Autonome des Travaux Routiers , AATR,106817114.00,F CFA,TTC,AREZKI
38,2010-01-11,F0040/10,2009,"Acquisition de cinq véhicules (1 berline, 3 véhicules 4x4 pick up double cabine et d'une (01) fourgonnette",Appel d'offres ouvert,Fournitures,Agence Nationale du Plan REVA,,70600000.00,F CFA,TTC,Espace Auto
39,2010-01-11,F0041/10,2009,Fourniture de produits de désinfection dans le cadre du plan ORSEC 2009,Appel d'offres restreint,Fournitures,Ministère de l'Intérieur ,,50000000.00,F CFA,HT,Sénégal Salubrité Sellal
40,2010-01-12,S0043/10,2009,Prestation d'insémination artificielle de 4 250 vaches dans les régions de Dakar et Thiès,Appel d'offres ouvert,Services courants,Ministère de l'Elevage,,96656523.00,F CFA,TTC,SOPRODEL
