Années,Parc total,Croissance nette trimestrielle,Croissance en %,Taux de pénétration,RTC,RTC Croissance nette trimestrielle,RTC Croissance en %,RTC en % du parc,ADSL,ADSL Croissance nette trimestrielle,ADSL Croissance en %,ADSL en % du parc total,LL,LL Croissance nette trimestrielle,LL Croissance en %,3G,3G Croissance nette trimestrielle,3G Croissance en %,3G En % du parc,Sonatel,Expresso,Sonatel bas débit,Expresso bas débit,Sonatel ADSL,Expresso ADSL,Sonatel 3G,Expresso 3G
2006-03-01,22250,,,0.21,2271,,,,20279,,,,227,,,,,,,,,,,,,,
2006-06-01,24652,2402,10.80,0.23,1771,500,-22.02,7.18,22881,2602,12.83,92.82,241,14,6.17,,,,,,,,,,,,
2006-09-01,27258,2606,10.57,0.26,1605,-166,-9.37,5.89,25653,2772,12.11,94.11,246,5,2.07,,,,,,,,,,,,
2006-12-01,30360,3102,11.38,0.29,1434,-171,-10.65,4.72,28926,3273,12.76,95.28,258,12,4.88,,,,,,,,,,,,
2007-03-01,31311,951,3.13,0.30,1307,-127,-8.86,4.17,30004,1078,3.73,95.83,274,16,6.20,,,,,,,,,,,,
2007-06-01,35806,4495,14.36,0.34,1319,12,0.92,3.68,34487,4483,14.94,96.32,280,6,2.19,,,,,,,,,,,,
2007-09-01,34907,-899,-2.51,0.33,1323,4,0.3,3.79,33584,-903,-2.62,96.21,275,16,6.18,,,,,,,,,,,,
2007-12-01,39113,4379,12.61,0.37,981,-342,-25.85,2.51,38132,4721,14.13,97.49,293,7,2.45,,,,,,,,,,,,
2008-03-01,41099,1986,5.08,0.39,849,-132,-13.46,2.07,40250,2118,5.55,97.93,354,61,20.82,,,,,,,,,,,,
2008-06-01,44140,3041,7.40,0.42,822,-27,-3.18,1.86,43318,3068,7.62,98.14,351,-3,-0.85,,,,,,,,,,,,
2008-09-01,45391,1251,2.83,0.43,773,-49,-5.96,1.70,44618,1300,3.00,98.30,361,10,2.85,,,,,,,,,,,,
2008-12-01,48110,2719,5.99,0.40,752,-21,-2.72,1.56,47358,2740,6.14,98.44,321,-40,-11.08,,,,,,,,,,,,
2009-03-01,54182,6072,12.62,0.45,1268,516,68.62,2.34,52914,5556,11.73,97.66,363,42,13.08,,,,,,,,,,,,
2009-06-01,57265,3083,5.69,0.47,1378,110,8.68,2.41,55745,2831,5.35,97.35,374,11,3.03,,,,,,,,,,,,
2009-09-01,58708,1443,2.52,0.48,1295,-83,-6.02,2.21,56973,1228,2.20,97.04,374,0,0.0,,,,,,,,,,,,
2009-12-01,59745,1037,1.77,0.49,1025,-270,-20.85,1.72,56432,-541,-0.95,94.45,379,5,1.34,,,,,,,,,,,,
2010-03-01,63210,3465,5.80,0.52,997,-28,-2.73,1.58,58494,2062,3.65,92.54,423,44,11.61,,,,,,,,,,,,
2010-06-01,74182,10972,17.36,0.61,1170,173,17.35,1.58,67145,8651,14.79,90.51,431,8,1.89,,,,,,,,,,,,
2010-09-01,85279,11097,14.96,0.70,1295,125,10.68,1.52,77023,9878,14.71,90.32,443,12,2.78,,,,,,,,,,,,
2010-12-01,148745,,,1.2,42420,,,28.5,82185,,,55.3,444,,,24140,,,16.2,,,,,,,,
2011-03-01,167447,18702,12.6,1.4,41851,-569,-1.3,25.0,85465,3280,4.0,51.0,440,-4,-0.9,40131,15991,66.2,24.0,,,,,,,,
2011-06-01,188258,20811,12.4,1.5,40225,-1626,-3.9,21.4,94355,8890,10.4,50.1,465,25,5.7,53678,13547,33.8,28.5,,,,,,,,
2011-09-01,264006,75748,40.2,2.2,54661,14386,35.8,20.7,94429,74,0.1,35.8,481,16,3.4,114966,61288,114.2,43.5,,,,,,,,
2011-12-01,341703,77697,29.4,2.8,60627,5966,10.9,0.5,92713,-1716,-1.8,0.762,485,4,0.8,188363,73397,63.8,1.55,48,52,29,71,100,,28,72
2012-03-01,390886,49183,14.4,3.2,64538,3911,6.5,0.53,93622,909,1.0,0.769,485,0,0.0,232726,44363,23.6,1.91,44,56,28,72,100,,26,74
2012-06-01,528358,137472,35.2,4.3,57390,-7148,-11.1,0.47,95412,1790,1.9,0.784,381,-104,-21.4,375556,142830,61.4,3.09,48,52,26,74,100,,38,62
2012-09-01,578317,49959,9.5,4.8,75296,17906,31.2,0.62,96039,627,0.7,0.789,385,4,1.0,406982,31426,8.4,3.34,48,52,24,76,100,,40,60
2012-12-01,628621,50304,8.7,5.2,84882,9586,12.7,0.7,95561,-478,-0.5,0.785,391,6,1.6,447787,40805,10.0,3.68,41,59,21,79,100,,32,68
